cae_num	cae_str	des_pt	des_en	rev
290210	290210	Extracção de pirites	Mining of pyrites	1
29022	29022	Extracção de rochas fosfatadas	Mining of phosphate stones	1
290220	290220	Extracção de rochas fosfatadas	Mining of phosphate stones	1
29029	29029	Extracção de minerais para as indústrias químicas, n.e.	Mining of chemical and fertiliser minerals n.e.c.	1
290290	290290	Extracção de minerais para as indústrias químicas, n.e.	Mining of chemical and fertiliser minerals n.e.c.	1
2903	2903	Extracção de sal	Extraction of salt	1
29031	29031	Extracção de sal marinho	Extraction of sea salt	1
290310	290310	Extracção de sal marinho	Extraction of sea salt	1
29032	29032	Extracção de sal-gema	Extraction of rock salt	1
290320	290320	Extracção de sal-gema	Extraction of rock salt	1
2909	2909	Extracção de outros minerais não metálicos	Quarrying of other  non-metalliferous minerals 	1
29091	29091	Extracção de asfalto	Extraction of asphalt	1
290910	290910	Extracção de asfalto	Extraction of asphalt	1
29092	29092	Extracção de diamantes	Quarying of diamond	1
290920	290920	Extracção de diamantes	Quarying of diamond	1
29093	29093	Extracção de pedras preciosas, com excepção dos diamantes	Quarrynig of precious and semi-precious stones (excluding diamonds)	1
290930	290930	Extracção de pedras preciosas, com excepção dos diamantes	Quarrynig of precious and semi-precious stones (excluding diamonds)	1
29094	29094	Extracção de diatomito	Quarrying of diatomite 	1
290940	290940	Extracção de diatomito	Quarrying of diatomite 	1
29095	29095	Extracção de gesso	Quarrying of gypsum	1
290950	290950	Extracção de gesso	Quarrying of gypsum	1
29096	29096	Extracção de feldspato	Quarrying of feldspar	1
290960	290960	Extracção de feldspato	Quarrying of feldspar	1
29097	29097	Extracção de quartzo	Quarrying of quartz	1
290970	290970	Extracção de quartzo	Quarrying of quartz	1
29099	29099	Extracção de outros minerais não metálicos, n.e.	Quarrying of other  non-metalliferous minerals, n.e.c. 	1
290990	290990	Extracção de outros minerais não metálicos, n.e.	Quarrying of other  non-metalliferous minerals, n.e.c. 	1
3	3	Indústrias transformadoras	Manufacturing	1
31	31	Indústrias da alimentação, bebidas e tabaco	Manufacture of food products, beverages and tobacco	1
311	311	Indústrias da alimentação (excepto as da Classe 312)	Manufacture of food products (except Class 312)	1
312	312	Indústrias da alimentação (excepto as da Classe 311)	Manufacture of food products (except Class 311)	1
3111	3111	Abate de animais, preparação e fabrico de conservas de carne	Slaughtering of animals, preparing and preserving meat	1
31111	31111	Abate de animais	Slaughtering of animals	1
311111	311111	Abate de gado	Slaughtering of cattle (production of meat)	1
311112	311112	Abate e preparação de criação e coelhos	Slaughtering of poultry and rabbits (production of meat)	1
31112	31112	Preparação e fabrico de conservas de carne	Processing and preserving of meat and meat products	1
311121	311121	Preparação e fabrico de conservas de carne, com excepção  da congelação	Processing and preserving of meat and meat products, except freezing	1
311122	311122	Congelação de carne	Freezing of meat and meat products	1
31119	31119	Preparação de produtos comestíveis resultantes de abate de gado, n.e	Processing of edible products originating from slaughterhouses,  n.e.c. 	1
311190	311190	Preparação de produtos comestíveis resultantes de abate de gado, n.e	Processing of edible products originating from slaughterhouses,  n.e.c. 	1
3112	3112	Indústria de lacticínios	Manufacture of dairy products	1
31121	31121	Pasteurização e engarrafamento do leite	Pasteurisation and bottling of milk	1
311210	311210	Pasteurização e engarrafamento do leite	Pasteurisation and bottling of milk	1
31122	31122	Fabricação  de gelados e sorvetes	Manufacture of ice cream	1
311220	311220	Fabricação  de gelados e sorvetes	Manufacture of ice cream	1
31129	31129	Indústria de lacticínios, n.e.	Manufacture of dairy products, n.e.c.	1
311290	311290	Indústria de lacticínios, n.e.	Manufacture of dairy products, n.e.c.	1
3113	3113	Conservação de frutos e de produtos hortícolas	Preserving of fruits and vegetables	1
31131	31131	Conservação de frutos e de produtos hortícolas	Preserving of fruits and vegetables	1
311310	311310	Conservação de frutos e de produtos hortícolas	Preserving of fruits and vegetables	1
31132	31132	Fabricação  de sumos de frutos e de produtos hortícolas e respectivos concentrados	Manufacture of fruit and vegetable juice, including concentrates	1
311320	311320	Fabricação  de sumos de frutos e de produtos hortícolas e respectivos concentrados	Manufacture of fruit and vegetable juice, including concentrates	1
31139	31139	Preparação de outros produtos alimentares a partir de frutos e produtos hortícolas	Manufacture of other food products from  fruit and vegetables 	1
311390	311390	Preparação de outros produtos alimentares a partir de frutos e produtos hortícolas	Manufacture of other food products from  fruit and vegetables 	1
3114	3114	Conservação de peixe e outros produtos da pesca	Preserving of fish and other fish products	1
31141	31141	Conservação de peixe e outros produtos da pesca em azeite ou molhos e pelo sal	Preserving of fish and other fish products in olive oil and other sauces and fish salting	1
311411	311411	Conservação de peixe e outros produtos da pesca em azeite ou molhos	Preserving of fish and fish products in olive oil and other sauces	1
311412	311412	Conservação de peixe e outros produtos da pesca pelo sal	Presenving of fish and fish products by salt	1
31142	31142	Congelação de peixe e outros produtos da pesca	Freezing of fish and fish products	1
311420	311420	Congelação de peixe e outros produtos da pesca	Freezing of fish and fish products	1
31143	31143	Secagem de peixe e outros produtos da pesca	Drying of fish and fish products	1
311430	311430	Secagem de peixe e outros produtos da pesca	Drying of fish and fish products	1
31149	31149	Conservação de peixe e outros produtos da pesca por processos n.e.	Other fish and fish products processing and preserving, n.e.c.	1
311490	311490	Conservação de peixe e outros produtos da pesca por processos n.e.	Other fish and fish products processing and preserving, n.e.c.	1
3115	3115	Produção de óleos e gorduras animais e vegetais	Manufacture of vegetable and animal oils and fats	1
31151	31151	Produção de azeite	Production of olive oil	1
311510	311510	Produção de azeite	Production of olive oil	1
31152	31152	Refinação de azeite	Manufacture of refined olive oil	1
311520	311520	Refinação de azeite	Manufacture of refined olive oil	1
31153	31153	Produção e refinação de óleos alimentares, com excepção do azeite	Manufacture and refining of edible oils, except olive oil	1
311530	311530	Produção e refinação de óleos alimentares, com excepção do azeite	Manufacture and refining of edible oils, except olive oil	1
31154	31154	Fabricação de margarina e produtos afins	Manufacture of margarine and similar edible fats	1
311540	311540	Fabricação de margarina e produtos afins	Manufacture of margarine and similar edible fats	1
3116	3116	Moagem, descasque, trituração e preparação de cereais e leguminosas	Milling, husting, grinding and preparation of grain mill products	1
31161	31161	Moagem de farinhas em rama	Milling of raw flour	1
311610	311610	Moagem de farinhas em rama	Milling of raw flour	1
31162	31162	Moagem de farinhas espoadas	Milling of other flour	1
311620	311620	Moagem de farinhas espoadas	Milling of other flour	1
31163	31163	Descasque, limpeza, branqueamento e glaciagem do arroz	Husking, cleaning, whitening and glazing of rice	1
311630	311630	Descasque, limpeza, branqueamento e glaciagem do arroz	Husking, cleaning, whitening and glazing of rice	1
31164	31164	Descasque e beneficiamento do café	Husking and processing of raw coffee beans	1
311640	311640	Descasque e beneficiamento do café	Husking and processing of raw coffee beans	1
31165	31165	Produção de farinhas preparadas e de flocos de cereais	Production of prepared flour and cereal flakes 	1
311650	311650	Produção de farinhas preparadas e de flocos de cereais	Production of prepared flour and cereal flakes 	1
31169	31169	Preparação de cereais e leguminosas, n.e.	Preparation of other grain mill products, n.e.c.	1
311690	311690	Preparação de cereais e leguminosas, n.e.	Preparation of other grain mill products, n.e.c.	1
3117	3117	"Padaria, pastelaria, doçaria; fabricação de bolachas, biscoitos e massas alimentícias"	"Manufacture of bread, pastry goods, rusks and biscuits; manufacture of macaroni, noodles, couscous and similar farinaceous products"	1
31171	31171	Panificação	Manufacture of bread	1
311710	311710	Panificação	Manufacture of bread	1
31172	31172	Pastelaria e doçaria	Manufacture of pastry goods and cakes	1
311720	311720	Pastelaria e doçaria	Manufacture of pastry goods and cakes	1
31173	31173	Fabricação  de bolachas e biscoitos	Manufacture of rusks and biscuits	1
311730	311730	Fabricação  de bolachas e biscoitos	Manufacture of rusks and biscuits	1
31174	31174	Fabricação  de massas alimentícias e produtos similares	Manufacture of macaroni, noodles, couscous and similar farinaceous products	1
311740	311740	Fabricação  de massas alimentícias e produtos similares	Manufacture of macaroni, noodles, couscous and similar farinaceous products	1
3118	3118	Fabricação  e refinação de açúcar	Manufacture and refining of sugar 	1
31181	31181	Fabricação  de açúcar	Manufacture of sugar	1
311810	311810	Fabricação  de açúcar	Manufacture of sugar	1
31182	31182	Refinação de açúcar	Refining sugar	1
311820	311820	Refinação de açúcar	Refining sugar	1
3119	3119	Fabricação  de cacau, chocolate e produtos de confeitaria	Manufacture of cocoa, chocolate and sugar confectionery	1
31191	31191	Fabricação  de cacau e chocolate	Manufacture of cocoa and chocolate	1
311910	311910	Fabricação  de cacau e chocolate	Manufacture of cocoa and chocolate	1
31192	31192	Fabricação  de produtos de confeitaria	Manufacture of sugar confectionery	1
311920	311920	Fabricação  de produtos de confeitaria	Manufacture of sugar confectionery	1
3121	3121	Outras indústrias alimentares	Manufacture of other food products 	1
31211	31211	Torrefacção	Roasting 	1
312110	312110	Torrefacção	Roasting 	1
31212	31212	Transformação das folhas de chá	Processing of tea-leaf 	1
312120	312120	Transformação das folhas de chá	Processing of tea-leaf 	1
31213	31213	Moagem e preparação de especiarias	Milling and preparation of spices	1
312130	312130	Moagem e preparação de especiarias	Milling and preparation of spices	1
31214	31214	Fabricação  de fermentos e leveduras	Manufacture of starters and yeast 	1
312140	312140	Fabricação  de fermentos e leveduras	Manufacture of starters and yeast 	1
31215	31215	Fabricação  de amidos, féculas, dextrinas e produtos afins	Manufacture of starches and starch products	1
312150	312150	Fabricação  de amidos, féculas, dextrinas e produtos afins	Manufacture of starches and starch products	1
31216	31216	Fabricação  de gelo	Manufacturing of ice	1
312160	312160	Fabricação  de gelo	Manufacturing of ice	1
31217	31217	Refinação de sal	Refining of salt	1
312170	312170	Refinação de sal	Refining of salt	1
31218	31218	Secagem, congelação e tratamento de ovos	Drying and freezing of eggs and egg products	1
312180	312180	Secagem, congelação e tratamento de ovos	Drying and freezing of eggs and egg products	1
31219	31219	Outras indústrias alimentares, n.e.	Manufacture of other food products n.e.c. 	1
312191	312191	Descasque de castanha de caju e de outros frutos secos	Husking of cashew nut and other nuts	1
312192	312192	Fabricação de café solúvel	Manufacture of soluble coffee	1
312199	312199	Outras indústrias alimentares, n.e.	Manufacture of other food products n.e.c. 	1
3122	3122	Indústria de alimentos compostos para animais	Manufacture of prepared animal feeds	1
31220	31220	Indústria de alimentos compostos para animais	Manufacture of prepared animal feeds	1
312200	312200	Indústria de alimentos compostos para animais	Manufacture of prepared animal feeds	1
313	313	Indústrias das bebidas	Manufacture of beverages 	1
3131	3131	Produção de bebidas espirituosas	Manufacture of spirit drinks	1
31311	31311	Produção de álcool etílico	Manufacture of ethyl alcohol	1
313110	313110	Produção de álcool etílico	Manufacture of ethyl alcohol	1
31312	31312	Produção de aguardentes não preparadas	Manufacture of non-prepared spirits	1
313120	313120	Produção de aguardentes não preparadas	Manufacture of non-prepared spirits	1
31313	31313	Produção de aguardentes preparadas	Manufacture of prepared spirits	1
313130	313130	Produção de aguardentes preparadas	Manufacture of prepared spirits	1
31314	31314	Produção de licores e outros espirituosos	Manufacture of liqueurs and other spirit beverages	1
313140	313140	Produção de licores e outros espirituosos	Manufacture of liqueurs and other spirit beverages	1
31319	31319	Produção de bebidas espirituosas, n.e.	Manufacture of spirit beverages, n.e.c.	1
313190	313190	Produção de bebidas espirituosas, n.e.	Manufacture of spirit beverages, n.e.c.	1
3132	3132	Indústria do vinho	Manufacture of wines	1
31321	31321	Produção de vinhos comuns	Manufacture of ordinary wines	1
313210	313210	Produção de vinhos comuns	Manufacture of ordinary wines	1
31322	31322	Produção de vinhos licorosos	Manufacture of liqueur wines	1
313220	313220	Produção de vinhos licorosos	Manufacture of liqueur wines	1
31323	31323	Produção de vinhos espumantes e espumosos	Manufacture of sparkling wines	1
313230	313230	Produção de vinhos espumantes e espumosos	Manufacture of sparkling wines	1
31324	31324	Produção de vermutes e outros vinhos preparados com plantas ou matérias aromáticas	Manufacture of vermouths and  other prepared wines with aromatic plants or materials	1
313240	313240	Produção de vermutes e outros vinhos preparados com plantas ou matérias aromáticas	Manufacture of vermouths and  other prepared wines with aromatic plants or materials	1
31325	31325	Produção de bebidas por fermentação de frutas arbóreas	Manufacture of  beverages by fermentation of fruits tree	1
313250	313250	Produção de bebidas por fermentação de frutas arbóreas	Manufacture of  beverages by fermentation of fruits tree	1
31329	31329	Indústria do vinho, n.e.	Manufacture of wines n.e.c.	1
313290	313290	Indústria do vinho, n.e.	Manufacture of wines n.e.c.	1
3133	3133	Fabricação  de malte e cerveja	Manufacture os malt and beer	1
31331	31331	Fabricação  de malte	Manufacture of malt	1
313310	313310	Fabricação  de malte	Manufacture of malt	1
31332	31332	Fabricação  de cerveja e de todas as bebidas fabricadas com base no malte	Manufacture of beer and other malt-based beverages 	1
313320	313320	Fabricação  de cerveja e de todas as bebidas fabricadas com base no malte	Manufacture of beer and other malt-based beverages	1
3134	3134	Indústria das bebidas não alcoólicas e das águas gaseificadas	Manufacture of non-alcoholic beverages and carbonated waters 	1
31341	31341	Produção de refrigerantes	Production of soft drinks	1
313410	313410	Produção de refrigerantes	Production of soft drinks	1
31342	31342	Engarrafamento e gaseificação de águas minerais naturais	Bottling and carbonation of natural mineral waters	1
313420	313420	Engarrafamento e gaseificação de águas minerais naturais	Bottling and carbonation of natural mineral waters	1
31349	31349	Produção de bebidas não alcoólicas, n.e.	Production of other non-alcoholic beverages, n.e.c.	1
313490	313490	Produção de bebidas não alcoólicas, n.e.	Production of other non-alcoholic beverages, n.e.c.	1
314	314	Indústria do Tabaco	Manufacture of tobacco products	1
3140	3140	Indústria do Tabaco	Manufacture of tobacco products	1
31400	31400	Indústria do Tabaco	Manufacture of tobacco products	1
314000	314000	Indústria do Tabaco	Manufacture of tobacco products	1
32	32	Industrias têxteis, do vestuário e do couro	Manufacture of textiles, wearing apparel and leather products	1
321	321	Industrias têxteis	Manufacture of textiles and textile products	1
3211	3211	Preparação e fiação de fibras, tecelagem e acabamento de tecidos	Preparation, spinning, weaving and finishing textiles	1
32111	32111	Preparação de fibras têxteis	Preparation of textile fibres	1
321110	321110	Preparação de fibras têxteis	Preparation of textile fibres	1
32112	32112	Fiação, tecelagem e acabamento de lãs e mistos	Spinning, weaving and finishing of wool-type fibres	1
321120	321120	Fiação, tecelagem e acabamento de lãs e mistos	Spinning, weaving and finishing of wool-type fibres	1
32113	32113	Fiação, tecelagem e acabamento de algodão, de fibras artificiais e sintéticas e mistas	Spinning, weaving and finishing of cotton, artificial and synthetic type fibres	1
321130	321130	Fiação, tecelagem e acabamento de algodão, de fibras artificiais e sintéticas e mistas	Spinning, weaving and finishing of cotton, artificial and synthetic type fibres	1
32114	32114	Fiação, tecelagem e acabamento das fibras brandas e mistas	Spinning, weaving and finishing vegetable-type or bast-type textile fibres	1
321141	321141	Fiação, tecelagem e acabamento de juta e mistas	Spinning, weaving and finishing of jute-type fibres	1
321142	321142	Fiação, tecelagem e acabamento de outras fibras brandas, com excepção  da juta	Spinning, weaving and finishing of other vegetable-type or bast-type textile fibres, except jute	1
32115	32115	Fabricação de passamanarias	Manufacture of ornamental trimmings 	1
321150	321150	Fabricação de passamanarias	Manufacture of ornamental trimmings 	1
32116	32116	Fabricação de rendas	Manufacture of lace	1
321160	321160	Fabricação de rendas	Manufacture of lace	1
32119	32119	Fiação, tecelagem e acabamento de tecidos n.e.	Spinning, weaving and finishing of fabrics n.e.c.	1
321190	321190	Fiação, tecelagem e acabamento de tecidos n.e.	Spinning, weaving and finishing of fabrics n.e.c.	1
3212	3212	Fabricação de têxteis em obra, com excepção de vestuário	Manufacture of made-up textile goods except wearing apparel	1
32121	32121	Confecção de artigos de lona e similares	Manufacture of  canvas and similar articles, except wearing apparel	1
321210	321210	Confecção de artigos de lona e similares	Manufacture of canvas and similar articles, except wearing apparel	1
32122	32122	Confecção de obras têxteis de uso doméstico	Manufacture of household made-up textile articles 	1
321220	321220	Confecção de obras têxteis de uso doméstico	Manufacture of household made-up textile articles 	1
32123	32123	Fabricação de bordados	Manufacture of embroidery	1
321230	321230	Fabricação de bordados	Manufacture of embroidery	1
32124	32124	Confecção de sacaria	Manufacture of sacks and bags, of a kind used for the packing of goods	1
321240	321240	Confecção de sacaria	Manufacture of sacks and bags, of a kind used for the packing of goods	1
32129	32129	Confecção de têxteis, n.e.	Manufacture of textiles n.e.c.	1
321290	321290	Confecção de têxteis, n.e.	Manufacture of textiles n.e.c.	1
3213	3213	Fabricação de malhas	Manufacture of knitwear	1
32130	32130	Fabricação de malhas	Manufacture of knitwear	1
321300	321300	Fabricação de malhas	Manufacture of knitwear	1
3214	3214	Fabricação de tapeçarias	Manufacture of tapestries	1
32141	32141	Fabricação de alcatifas, tapetes, carpetes e passadeiras	Manufacture of carpets, rugs and other textile floor coverings	1
321410	321410	Fabricação de alcatifas, tapetes, carpetes e passadeiras	Manufacture of carpets, rugs and other textile floor coverings	1
32142	32142	Fabricação de obras de palha, esparto, junco, pita e matérias similares	Manufacture of articles of straw, esparto, wicker and other plaiting materials	1
321420	321420	Fabricação de obras de palha, esparto, junco, pita e matérias similares	Manufacture of articles of straw, esparto, wicker, pita and other plaiting materials	1
3215	3215	Cordoaria	Manufacture of cordage	1
32151	32151	Fabricação de cordas e cabos	Manufacture of ropes and cables	1
321510	321510	Fabricação de cordas e cabos	Manufacture of ropes and cables	1
32152	32152	Fabricação de redes	Manufacture of nets	1
321520	321520	Fabricação de redes	Manufacture of nets	1
32159	32159	Cordoaria, n.e.	Manufacture of cordage, n.e.c	1
321590	321590	Cordoaria, n.e.	Manufacture of cordage, n.e.c	1
3219	3219	Fabricação de têxteis, n.e.	Manufacture of textiles, n.e.c.	1
32191	32191	Fabricação de telas impermeáveis, oleados e encerados	Manufacture of waterproof fabrics, linoleum and tarpaulins	1
321910	321910	Fabricação de telas impermeáveis, oleados e encerados	Manufacture of waterproof fabrics, linoleum and tarpaulins	1
32192	32192	Corte e preparação do pêlo	Cuting and preparation of animal hair	1
321920	321920	Corte e preparação do pêlo	Cuting and preparation of animal hair	1
32199	32199	Fabricação de outros têxteis, n.e.	Manufacture of other textiles, n.e.c.	1
321990	321990	Fabricação de outros têxteis, n.e.	Manufacture of other textiles, n.e.c.	1
322	322	Fabricação de artigos de vestuário, com excepção do calçado	Manufacture of wearing apparel, except footwear	1
3220	3220	Fabricação de artigos de vestuário, com excepção do calçado	Manufacture of wearing apparel, except footwear	1
32201	32201	Fabricação de artigos de vestuário por medida	Manufacture of made-to-measure wearing apparel	1
322010	322010	Fabricação de artigos de vestuário por medida	Manufacture of made-to-measure wearing apparel	1
32202	32202	Confecção de artigos de vestuário em série	Manufacture of ready-to-wear wearing apparel	1
322020	322020	Confecção de artigos de vestuário em série	Manufacture of ready-to-wear wearing apparel	1
32203	32203	Fabricação de artigos de chapelaria	Manufactures of hats and other headgear	1
322030	322030	Fabricação de artigos de chapelaria	Manufactures of hats and other headgear	1
32204	32204	Fabricação de luvas, cintos, suspensórios, ligas e similares	Manufacture of gloves, belts, suspenders,  braces and similar	1
322040	322040	Fabricação de luvas, cintos, suspensórios, ligas e similares	Manufacture of gloves, belts, suspenders,  braces and similar	1
32209	32209	Fabricação de artigos de vestuário, n.e.	Manufacture of other wearing apparel, n.e.c.	1
322090	322090	Fabricação de artigos de vestuário, n.e.	Manufacture of other wearing apparel, n.e.c.	1
323	323	Indústria de curtumes e dos artigos de couro e dos seus substitutos e de pele, com excepção  do calçado e outros artigos de vestuário	Manufacture of leather and products of leather, leather substitutes and fur, except footwear and wearing apparel	1
3231	3231	Indústrias de curtimenta e acabamento de couros e de peles sem cabelo	Tanning and dressing of leather and fur	1
32310	32310	Indústrias de curtimenta e acabamento de couros e de peles sem cabelo	Tanning and dressing of leather and fur	1
323100	323100	Indústrias de curtimenta e acabamento de couros e de peles sem cabelo	Tanning and dressing of leather and fur	1
3232	3232	Indústrias do tratamento de peles com cabelo	Fur dressing and dyeing industries	1
32320	32320	Indústrias do tratamento de peles com cabelo	Fur dressing and dyeing industries	1
323200	323200	Indústrias do tratamento de peles com cabelo	Fur dressing and dyeing industries	1
3233	3233	Fabricação de artigos de couro e de substitutos do couro, com excepção  do calçado e outros artigos de vestuário	Manufacture of products of leather and leather substitutes, except footwear and wearing apparel	1
32331	32331	Fabricação de malas, pastas, artigos de viagem e de uso pessoal	Manufacture of handbags, brief-cases, travel goods, purses and similar articles	1
323310	323310	Fabricação de malas, pastas, artigos de viagem e de uso pessoal	Manufacture of handbags, brief-cases, travel goods, purses and similar articles	1
32339	32339	Fabricação de artigos do couro ou de substitutos de couro,n.e.	Manufacture of other products of leather or leather substitutes, n.e.c.	1
