code,code_np,level,des_pt,des_en,class,level1,despt1,desen1,level2,despt2,desen2,level3,despt3,desen3,level4,despt4,desen4,level5,despt5,desen5
0-12.05,01205,4,Físico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1205,01205 Físico,,,,
0-12.10,01210,4,Físico - especialista em mecânica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1210,01210 Físico - especialista em mecânica,,,,
0-12.15,01215,4,Físico - especialista em termodinâmica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1215,01215 Físico - especialista em termodinâmica,,,,
0-12.20,01220,4,Físico - especialista em óptica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1220,01220 Físico - especialista em óptica,,,,
0-12.25,01225,4,Físico - especialista em acústica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1225,01225 Físico - especialista em acústica,,,,
0-12.30,01230,4,Físico - especialista em electricidade e magnetismo,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1230,01230 Físico - especialista em electricidade e magnetismo,,,,
0-12.35,01235,4,Físico - especialista em electrónica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1235,01235 Físico - especialista em electrónica,,,,
0-12.40,01240,4,Físico - especialista em energia nuclear,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1240,01240 Físico - especialista em energia nuclear,,,,
0-12.45,01245,4,Físico - especialista do estado sólido,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1245,01245 Físico - especialista do estado sólido,,,,
0-12.50,01250,4,Físico - especialista em física atómica e molecular,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1250,01250 Físico - especialista em física atómica e molecular,,,,
0-12.90,01290,4,Outros físicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,12,012 Físicos,,1290,01290 Outros físicos,,,,
0-13,013,3,Especialistas das ciências físico-químicas não classificados em outra parte,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,,,,,,
0-13.05,01305,4,Geofísico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1305,01305 Geofísico,,,,
0-13.10,01310,4,Geólogo,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1310,01310 Geólogo,,,,
0-13.15,01315,4,Oceanógrafo,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1315,01315 Oceanógrafo,,,,
0-13.20,01320,4,Oceanógrafo físico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1320,01320 Oceanógrafo físico,,,,
0-13.25,01325,4,Oceanógrafo químico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1325,01325 Oceanógrafo químico,,,,
0-13.30,01330,4,Oceanógrafo geológico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1330,01330 Oceanógrafo geológico,,,,
0-13.35,01335,4,Oceanógrafo biológico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1335,01335 Oceanógrafo biológico,,,,
0-13.40,01340,4,Meteorologista,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1340,01340 Meteorologista,,,,
0-13.45,01345,4,Astrónomo,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1345,01345 Astrónomo,,,,
0-13.90,01390,4,Outros especialistas das ciências físico-químicas não classificados em outra parte,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,13,013 Especialistas das ciências físico-químicas não classificados em outra parte,,1390,01390 Outros especialistas das ciências físico-químicas não classificados em outra parte,,,,
0-14,014,3,Técnicos das ciências físico-químicas e trabalhadores similares,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,,,,,,
0-14.10,01410,4,Analista de laboratório,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,1410,01410 Analista de laboratório,,,,
0-14.20,01420,4,Observador geofísico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,1420,01420 Observador geofísico,,,,
0-14.30,01430,4,Observador meteorológico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,1430,01430 Observador meteorológico,,,,
0-14.40,01440,4,Técnico físico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,1440,01440 Técnico físico,,,,
0-14.90,01490,4,Outros técnicos das ciências físico-químicas e trabalhadores similares,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,1,01 Especialistas das ciências físico-químicas e técnicos similares,,14,014 Técnicos das ciências físico-químicas e trabalhadores similares,,1490,01490 Outros técnicos das ciências físico-químicas e trabalhadores similares,,,,
0-2,02,2,"Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,,,,,,,,,
0-21,021,3,Arquitectos e urbanistas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,21,021 Arquitectos e urbanistas,,,,,,,
0-21.10,02110,4,Arquitecto,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,21,021 Arquitectos e urbanistas,,2110,02110 Arquitecto,,,,
0-21.20,02120,4,Urbanista,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,21,021 Arquitectos e urbanistas,,2120,02120 Urbanista,,,,
0-21.30,02130,4,Arquitecto paisagista,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,21,021 Arquitectos e urbanistas,,2130,02130 Arquitecto paisagista,,,,
0-22,022,3,Engenheiros civis,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,,,,,,
0-22.05,02205,4,Engenheiro civil,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2205,02205 Engenheiro civil,,,,
0-22.10,02210,4,Engenheiro civil - construção de edifícios,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2210,02210 Engenheiro civil - construção de edifícios,,,,
0-22.15,02215,4,Engenheiro civil - construção de estradas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2215,02215 Engenheiro civil - construção de estradas,,,,
0-22.20,02220,4,Engenheiro civil - construção de aeródromos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2220,02220 Engenheiro civil - construção de aeródromos,,,,
0-22.25,02225,4,Engenheiro civil - construção de vias férreas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2225,02225 Engenheiro civil - construção de vias férreas,,,,
0-22.30,02230,4,Engenheiro civil - construção de pontes,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2230,02230 Engenheiro civil - construção de pontes,,,,
0-22.35,02235,4,Engenheiro civil - instalações de higiene e salubridade,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2235,02235 Engenheiro civil - instalações de higiene e salubridade,,,,
0-22.40,02240,4,Engenheiro civil - hidráulico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2240,02240 Engenheiro civil - hidráulico,,,,
0-22.45,02245,4,Engenheiro civil - mecânica dos solos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2245,02245 Engenheiro civil - mecânica dos solos,,,,
0-22.50,02250,4,Engenheiro técnico - construção civil,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2250,02250 Engenheiro técnico - construção civil,,,,
0-22.90,02290,4,Outros engenheiros civis,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,22,022 Engenheiros civis,,2290,02290 Outros engenheiros civis,,,,
0-23,023,3,Engenheiros electrotécnicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,,,,,,
0-23.10,02310,4,Engenheiro electrotécnico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2310,02310 Engenheiro electrotécnico,,,,
0-23.20,02320,4,Engenheiro electrotécnico - correntes fortes,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2320,02320 Engenheiro electrotécnico - correntes fortes,,,,
0-23.30,02330,4,Engenheiro electrotécnico - correntes fracas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2330,02330 Engenheiro electrotécnico - correntes fracas,,,,
0-23.40,02340,4,Engenheiro de telecomunicações,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2340,02340 Engenheiro de telecomunicações,,,,
0-23.50,02350,4,Engenheiro técnico - electromecânica,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2350,02350 Engenheiro técnico - electromecânica,,,,
0-23.90,02390,4,Outros engenheiros electrotécnicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,23,023 Engenheiros electrotécnicos,,2390,02390 Outros engenheiros electrotécnicos,,,,
0-24,024,3,Engenheiros mecânicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,,,,,,
0-24.10,02410,4,Engenheiro mecânico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2410,02410 Engenheiro mecânico,,,,
0-24.20,02420,4,Engenheiro mecânico - concepção,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2420,02420 Engenheiro mecânico - concepção,,,,
0-24.30,02430,4,Engenheiro mecânico - fabricação,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2430,02430 Engenheiro mecânico - fabricação,,,,
0-24.40,02440,4,Engenheiro mecânico - montagem e manutenção,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2440,02440 Engenheiro mecânico - montagem e manutenção,,,,
0-24.50,02450,4,Engenheiro técnico mecânico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2450,02450 Engenheiro técnico mecânico,,,,
0-24.90,02490,4,Outros engenheiros mecânicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,24,024 Engenheiros mecânicos,,2490,02490 Outros engenheiros mecânicos,,,,
0-25,025,3,Engenheiros químicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,,,,,,
0-25.10,02510,4,Engenheiro químico-industrial,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,2510,02510 Engenheiro químico-industrial,,,,
0-25.20,02520,4,Engenheiro químico-industrial - investigação,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,2520,02520 Engenheiro químico-industrial - investigação,,,,
0-25.30,02530,4,Engenheiro químico-industrial - fabrico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,2530,02530 Engenheiro químico-industrial - fabrico,,,,
0-25.40,02540,4,Engenheiro técnico-químico,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,2540,02540 Engenheiro técnico-químico,,,,
0-25.90,02590,4,Outros engenheiros químicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,25,025 Engenheiros químicos,,2590,02590 Outros engenheiros químicos,,,,
0-26,026,3,Engenheiros metalúrgicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,26,026 Engenheiros metalúrgicos,,,,,,,
0-26.10,02610,4,Engenheiro metalúrgico - produção e afinação de metais,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,26,026 Engenheiros metalúrgicos,,2610,02610 Engenheiro metalúrgico - produção e afinação de metais,,,,
0-26.20,02620,4,Engenheiro metalúrgico - tratamento dos metais,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,26,026 Engenheiros metalúrgicos,,2620,02620 Engenheiro metalúrgico - tratamento dos metais,,,,
0-26.90,02690,4,Outros engenheiros metalúrgicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,26,026 Engenheiros metalúrgicos,,2690,02690 Outros engenheiros metalúrgicos,,,,
0-27,027,3,Engenheiros de minas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,,,,,,
0-27.10,02710,4,Engenheiro de minas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,2710,02710 Engenheiro de minas,,,,
0-27.20,02720,4,Engenheiro de minas - minérios não metálicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,2720,02720 Engenheiro de minas - minérios não metálicos,,,,
0-27.30,02730,4,Engenheiro de minas - minérios metálicos,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,2730,02730 Engenheiro de minas - minérios metálicos,,,,
0-27.40,02740,4,Engenheiro de minas - extracção de petróleo e gás natural,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,2740,02740 Engenheiro de minas - extracção de petróleo e gás natural,,,,
0-27.90,02790,4,Outros engenheiros de minas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,27,027 Engenheiros de minas,,2790,02790 Outros engenheiros de minas,,,,
0-29,029,3,Engenheiros não classificados em outra parte,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,29,029 Engenheiros não classificados em outra parte,,,,,,,
0-29.10,02910,4,Engenheiro têxtil,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,29,029 Engenheiros não classificados em outra parte,,2910,02910 Engenheiro têxtil,,,,
0-29.20,02920,4,Engenheiro - especialista em cerâmica e vidraria,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,29,029 Engenheiros não classificados em outra parte,,2920,02920 Engenheiro - especialista em cerâmica e vidraria,,,,
0-29.30,02930,4,Engenheiro - especialista no fabrico de géneros alimentares e bebidas,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,29,029 Engenheiros não classificados em outra parte,,2930,02930 Engenheiro - especialista no fabrico de géneros alimentares e bebidas,,,,
0-29.40,02940,4,Engenheiro de tráfego,,1980,0,"0 Pessoal de profissões científicas, técnicas, artísticas e de profissões similares (excepto os do grande grupo 1)",,2,"02 Arquitectos, engenheiros e técnicos similares (excepto os do subgrupo 0-3)",,29,029 Engenheiros não classificados em outra parte,,2940,02940 Engenheiro de tráfego,,,,
